,Date,USD (PM)
2017-01-09,1/9/17,1178.5
2017-01-10,1/10/17,1189.5
2017-01-11,1/11/17,1178.55
2017-01-12,1/12/17,1205.05
2017-01-13,1/13/17,1190.35
2017-01-16,1/16/17,1203.0
2017-01-17,1/17/17,1216.05
2017-01-18,1/18/17,1214.75
2017-01-19,1/19/17,1196.05
2017-01-20,1/20/17,1200.55
2017-01-23,1/23/17,1212.85
2017-01-24,1/24/17,1216.8
2017-01-25,1/25/17,1195.0
2017-01-26,1/26/17,1189.7
2017-01-27,1/27/17,1184.85
2017-01-30,1/30/17,1192.8
2017-01-31,1/31/17,1212.8
2017-02-01,2/1/17,1203.65
2017-02-02,2/2/17,1221.95
2017-02-03,2/3/17,1215.2
2017-02-06,2/6/17,1226.75
2017-02-07,2/7/17,1231.0
2017-02-08,2/8/17,1242.1
2017-02-09,2/9/17,1236.8
2017-02-10,2/10/17,1228.3
2017-02-13,2/13/17,1222.25
2017-02-14,2/14/17,1230.75
2017-02-15,2/15/17,1224.4
2017-02-16,2/16/17,1240.55
2017-02-17,2/17/17,1241.95
2017-02-20,2/20/17,1237.3
2017-02-21,2/21/17,1233.2
2017-02-22,2/22/17,1236.65
2017-02-23,2/23/17,1247.9
2017-02-24,2/24/17,1253.65
2017-02-27,2/27/17,1257.2
2017-02-28,2/28/17,1255.6
2017-03-01,3/1/17,1240.4
2017-03-02,3/2/17,1238.1
2017-03-03,3/3/17,1226.5
2017-03-06,3/6/17,1230.95
2017-03-07,3/7/17,1216.65
2017-03-08,3/8/17,1209.2
2017-03-09,3/9/17,1206.55
2017-03-10,3/10/17,1202.65
2017-03-13,3/13/17,1204.2
2017-03-14,3/14/17,1204.6
2017-03-15,3/15/17,1198.8
2017-03-16,3/16/17,1229.35
2017-03-17,3/17/17,1229.6
2017-03-20,3/20/17,1232.4
2017-03-21,3/21/17,1241.6
2017-03-22,3/22/17,1249.05
2017-03-23,3/23/17,1247.5
2017-03-24,3/24/17,1247.5
2017-03-27,3/27/17,1257.55
2017-03-28,3/28/17,1257.25
2017-03-29,3/29/17,1251.1
2017-03-30,3/30/17,1248.8
2017-03-31,3/31/17,1244.85
2017-04-03,4/3/17,1247.25
2017-04-04,4/4/17,1257.65
2017-04-05,4/5/17,1245.8
2017-04-06,4/6/17,1252.5
2017-04-07,4/7/17,1266.45
2017-04-10,4/10/17,1250.05
2017-04-11,4/11/17,1252.9
2017-04-12,4/12/17,1274.3
2017-04-13,4/13/17,1284.15
2017-04-18,4/18/17,1278.95
2017-04-19,4/19/17,1279.05
2017-04-20,4/20/17,1282.1
2017-04-21,4/21/17,1281.85
2017-04-24,4/24/17,1269.4
2017-04-25,4/25/17,1267.8
2017-04-26,4/26/17,1261.85
2017-04-27,4/27/17,1262.8
2017-04-28,4/28/17,1266.45
2017-05-02,5/2/17,1255.45
2017-05-03,5/3/17,1250.3
2017-05-04,5/4/17,1228.45
2017-05-05,5/5/17,1228.05
2017-05-08,5/8/17,1229.8
2017-05-09,5/9/17,1220.4
2017-05-10,5/10/17,1222.95
2017-05-11,5/11/17,1223.15
2017-05-12,5/12/17,1231.25
2017-05-15,5/15/17,1233.3
2017-05-16,5/16/17,1234.2
2017-05-17,5/17/17,1257.4
2017-05-18,5/18/17,1255.9
2017-05-19,5/19/17,1252.0
2017-05-22,5/22/17,1258.85
2017-05-23,5/23/17,1260.2
2017-05-24,5/24/17,1252.55
2017-05-25,5/25/17,1256.95
2017-05-26,5/26/17,1265.05
2017-05-30,5/30/17,1262.7
2017-05-31,5/31/17,1266.2
2017-06-01,6/1/17,1264.85
2017-06-02,6/2/17,1274.95
2017-06-05,6/5/17,1279.95
2017-06-06,6/6/17,1293.5
2017-06-07,6/7/17,1291.0
2017-06-08,6/8/17,1273.1
2017-06-09,6/9/17,1266.55
2017-06-12,6/12/17,1266.4
2017-06-13,6/13/17,1262.0
2017-06-14,6/14/17,1275.5
2017-06-15,6/15/17,1254.55
2017-06-16,6/16/17,1255.4
2017-06-19,6/19/17,1248.15
2017-06-20,6/20/17,1242.2
2017-06-21,6/21/17,1242.5
2017-06-22,6/22/17,1250.8
2017-06-23,6/23/17,1255.7
2017-06-26,6/26/17,1245.25
2017-06-27,6/27/17,1249.55
2017-06-28,6/28/17,1248.0
2017-06-29,6/29/17,1243.5
2017-06-30,6/30/17,1242.25
2017-07-03,7/3/17,1229.25
2017-07-04,7/4/17,1223.75
2017-07-05,7/5/17,1220.3
2017-07-06,7/6/17,1224.9
2017-07-07,7/7/17,1215.65
2017-07-10,7/10/17,1211.9
2017-07-11,7/11/17,1211.05
2017-07-12,7/12/17,1218.8
2017-07-13,7/13/17,1218.9
2017-07-14,7/14/17,1230.3
2017-07-17,7/17/17,1234.1
2017-07-18,7/18/17,1240.75
2017-07-19,7/19/17,1242.15
2017-07-20,7/20/17,1238.7
2017-07-21,7/21/17,1248.55
2017-07-24,7/24/17,1255.55
2017-07-25,7/25/17,1254.4
2017-07-26,7/26/17,1248.1
2017-07-27,7/27/17,1261.1
2017-07-28,7/28/17,1264.9
2017-07-31,7/31/17,1267.55
2017-08-01,8/1/17,1270.95
2017-08-02,8/2/17,1269.6
2017-08-03,8/3/17,1268.1
2017-08-04,8/4/17,1257.7
2017-08-07,8/7/17,1258.0
2017-08-08,8/8/17,1261.8
2017-08-09,8/9/17,1271.05
2017-08-10,8/10/17,1284.4
2017-08-11,8/11/17,1286.1
2017-08-14,8/14/17,1282.3
2017-08-15,8/15/17,1270.3
2017-08-16,8/16/17,1272.75
2017-08-17,8/17/17,1285.15
2017-08-18,8/18/17,1295.8
2017-08-21,8/21/17,1292.9
2017-08-22,8/22/17,1284.2
2017-08-23,8/23/17,1286.65
2017-08-24,8/24/17,1289.0
2017-08-25,8/25/17,1285.3
2017-08-29,8/29/17,1318.65
2017-08-30,8/30/17,1308.5
2017-08-31,8/31/17,1311.75
2017-09-01,9/1/17,1320.4
2017-09-04,9/4/17,1333.1
2017-09-05,9/5/17,1335.55
2017-09-06,9/6/17,1337.85
2017-09-07,9/7/17,1343.5
2017-09-08,9/8/17,1346.25
2017-09-11,9/11/17,1334.2
2017-09-12,9/12/17,1326.5
2017-09-13,9/13/17,1327.55
2017-09-14,9/14/17,1324.55
2017-09-15,9/15/17,1322.85
2017-09-18,9/18/17,1312.1
2017-09-19,9/19/17,1309.6
2017-09-20,9/20/17,1311.3
2017-09-21,9/21/17,1292.1
2017-09-22,9/22/17,1294.8
2017-09-25,9/25/17,1293.3
2017-09-26,9/26/17,1300.05
2017-09-27,9/27/17,1282.55
2017-09-28,9/28/17,1283.35
2017-09-29,9/29/17,1283.1
2017-10-02,10/2/17,1273.7
2017-10-03,10/3/17,1271.25
2017-10-04,10/4/17,1274.25
2017-10-05,10/5/17,1274.5
2017-10-06,10/6/17,1261.8
2017-10-09,10/9/17,1278.75
2017-10-10,10/10/17,1291.4
2017-10-11,10/11/17,1289.25
2017-10-12,10/12/17,1290.25
2017-10-13,10/13/17,1299.6
2017-10-16,10/16/17,1303.3
2017-10-17,10/17/17,1284.75
2017-10-18,10/18/17,1280.2
2017-10-19,10/19/17,1286.4
2017-10-20,10/20/17,1281.2
2017-10-23,10/23/17,1274.9
2017-10-24,10/24/17,1276.45
2017-10-25,10/25/17,1275.0
2017-10-26,10/26/17,1273.75
2017-10-27,10/27/17,1266.45
2017-10-30,10/30/17,1272.0
2017-10-31,10/31/17,1270.15
2017-11-01,11/1/17,1277.05
2017-11-02,11/2/17,1279.2
2017-11-03,11/3/17,1267.2
2017-11-06,11/6/17,1270.9
2017-11-07,11/7/17,1275.6
2017-11-08,11/8/17,1284.0
2017-11-09,11/9/17,1284.8
2017-11-10,11/10/17,1284.3
2017-11-13,11/13/17,1277.95
2017-11-14,11/14/17,1274.6
2017-11-15,11/15/17,1282.2
2017-11-16,11/16/17,1280.0
2017-11-17,11/17/17,1284.35
2017-11-20,11/20/17,1286.2
2017-11-21,11/21/17,1283.3
2017-11-22,11/22/17,1286.95
2017-11-23,11/23/17,1290.35
2017-11-24,11/24/17,1290.5
2017-11-27,11/27/17,1294.9
2017-11-28,11/28/17,1291.85
2017-11-29,11/29/17,1283.85
2017-11-30,11/30/17,1280.2
2017-12-01,12/1/17,1275.5
2017-12-04,12/4/17,1273.45
2017-12-05,12/5/17,1266.3
2017-12-06,12/6/17,1263.7
2017-12-07,12/7/17,1255.0
2017-12-08,12/8/17,1250.65
2017-12-11,12/11/17,1247.15
2017-12-12,12/12/17,1240.9
2017-12-13,12/13/17,1242.65
2017-12-14,12/14/17,1251.0
2017-12-15,12/15/17,1254.6
2017-12-18,12/18/17,1260.6
2017-12-19,12/19/17,1260.35
2017-12-20,12/20/17,1264.55
2017-12-21,12/21/17,1264.55
2017-12-22,12/22/17,1271.975
2017-12-27,12/27/17,1279.4
2017-12-28,12/28/17,1291.0
2017-12-29,12/29/17,1301.525
2018-01-02,1/2/18,1312.05
2018-01-03,1/3/18,1314.9
2018-01-04,1/4/18,1314.5
2018-01-05,1/5/18,1317.15
2018-01-08,1/8/18,1319.95
2018-01-09,1/9/18,1311.0
2018-01-10,1/10/18,1319.75
2018-01-11,1/11/18,1323.05
2018-01-12,1/12/18,1326.8
2018-01-15,1/15/18,1339.25
2018-01-16,1/16/18,1333.85
2018-01-17,1/17/18,1335.65
2018-01-18,1/18/18,1332.2
2018-01-19,1/19/18,1334.95
2018-01-22,1/22/18,1332.6
2018-01-23,1/23/18,1333.4
2018-01-24,1/24/18,1353.7
2018-01-25,1/25/18,1354.95
2018-01-26,1/26/18,1353.15
2018-01-29,1/29/18,1343.85
2018-01-30,1/30/18,1344.9
2018-01-31,1/31/18,1345.05
2018-02-01,2/1/18,1341.35
2018-02-02,2/2/18,1331.15
2018-02-05,2/5/18,1333.6
2018-02-06,2/6/18,1331.4
2018-02-07,2/7/18,1324.65
2018-02-08,2/8/18,1315.45
2018-02-09,2/9/18,1314.1
2018-02-12,2/12/18,1322.3
2018-02-13,2/13/18,1325.35
2018-02-14,2/14/18,1336.25
2018-02-15,2/15/18,1352.45
2018-02-16,2/16/18,1352.1
2018-02-19,2/19/18,1346.6
2018-02-20,2/20/18,1339.85
2018-02-21,2/21/18,1330.5
2018-02-22,2/22/18,1328.35
2018-02-23,2/23/18,1327.95
2018-02-26,2/26/18,1333.5
2018-02-27,2/27/18,1325.75
2018-02-28,2/28/18,1317.85
2018-03-01,3/1/18,1307.75
2018-03-02,3/2/18,1322.3
2018-03-05,3/5/18,1320.4
2018-03-06,3/6/18,1331.4
2018-03-07,3/7/18,1329.4
2018-03-08,3/8/18,1321.0
2018-03-09,3/9/18,1320.6
2018-03-12,3/12/18,1319.15
2018-03-13,3/13/18,1322.75
2018-03-14,3/14/18,1323.55
2018-03-15,3/15/18,1318.75
2018-03-16,3/16/18,1310.1
2018-03-19,3/19/18,1312.4
2018-03-20,3/20/18,1311.0
2018-03-21,3/21/18,1321.35
2018-03-22,3/22/18,1329.15
2018-03-23,3/23/18,1346.6
2018-03-26,3/26/18,1352.4
2018-03-27,3/27/18,1341.45
2018-03-28,3/28/18,1332.45
2018-03-29,3/29/18,1323.85
2018-04-03,4/3/18,1333.45
2018-04-04,4/4/18,1337.3
2018-04-05,4/5/18,1327.7
2018-04-06,4/6/18,1331.2
2018-04-09,4/9/18,1331.95
2018-04-10,4/10/18,1338.95
2018-04-11,4/11/18,1350.75
2018-04-12,4/12/18,1341.35
2018-04-13,4/13/18,1343.7
2018-04-16,4/16/18,1349.35
2018-04-17,4/17/18,1342.1
2018-04-18,4/18/18,1351.45
2018-04-19,4/19/18,1348.6
2018-04-20,4/20/18,1336.75
2018-04-23,4/23/18,1324.3
2018-04-24,4/24/18,1328.85
2018-04-25,4/25/18,1321.65
2018-04-26,4/26/18,1320.7
2018-04-27,4/27/18,1321.5
2018-04-30,4/30/18,1313.2
2018-05-01,5/1/18,1307.1
2018-05-02,5/2/18,1304.2
2018-05-03,5/3/18,1315.05
2018-05-04,5/4/18,1309.4
2018-05-08,5/8/18,1306.6
2018-05-09,5/9/18,1313.85
2018-05-10,5/10/18,1318.8
2018-05-11,5/11/18,1324.35
2018-05-14,5/14/18,1319.85
2018-05-15,5/15/18,1295.0
2018-05-16,5/16/18,1291.25
2018-05-17,5/17/18,1289.5
2018-05-18,5/18/18,1288.3
2018-05-21,5/21/18,1288.35
2018-05-22,5/22/18,1293.05
2018-05-23,5/23/18,1289.0
2018-05-24,5/24/18,1304.85
2018-05-25,5/25/18,1303.5
2018-05-29,5/29/18,1295.5
2018-05-30,5/30/18,1300.7
2018-05-31,5/31/18,1305.35
2018-06-01,6/1/18,1294.6
2018-06-04,6/4/18,1295.45
2018-06-05,6/5/18,1292.05
2018-06-06,6/6/18,1300.1
2018-06-07,6/7/18,1297.25
2018-06-08,6/8/18,1298.25
2018-06-11,6/11/18,1299.6
2018-06-12,6/12/18,1298.65
2018-06-13,6/13/18,1296.15
2018-06-14,6/14/18,1302.75
2018-06-15,6/15/18,1285.25
2018-06-18,6/18/18,1281.55
2018-06-19,6/19/18,1276.15
2018-06-20,6/20/18,1274.2
2018-06-21,6/21/18,1266.15
2018-06-22,6/22/18,1269.15
2018-06-25,6/25/18,1268.7
2018-06-26,6/26/18,1260.3
2018-06-27,6/27/18,1254.6
2018-06-28,6/28/18,1251.55
2018-06-29,6/29/18,1250.45
2018-07-02,7/2/18,1247.8
2018-07-03,7/3/18,1251.75
2018-07-04,7/4/18,1255.65
2018-07-05,7/5/18,1255.5
2018-07-06,7/6/18,1255.35
2018-07-09,7/9/18,1262.05
2018-07-10,7/10/18,1254.0
2018-07-11,7/11/18,1251.4
2018-07-12,7/12/18,1245.9
2018-07-13,7/13/18,1241.7
2018-07-16,7/16/18,1241.1
2018-07-17,7/17/18,1232.8
2018-07-18,7/18/18,1224.5
2018-07-19,7/19/18,1217.55
2018-07-20,7/20/18,1228.75
2018-07-23,7/23/18,1224.95
2018-07-24,7/24/18,1228.35
2018-07-25,7/25/18,1231.5
2018-07-26,7/26/18,1228.25
2018-07-27,7/27/18,1223.95
2018-07-30,7/30/18,1223.8
2018-07-31,7/31/18,1220.95
2018-08-01,8/1/18,1219.0
2018-08-02,8/2/18,1215.45
2018-08-03,8/3/18,1216.3
2018-08-06,8/6/18,1209.65
2018-08-07,8/7/18,1212.35
2018-08-08,8/8/18,1209.55
2018-08-09,8/9/18,1214.35
2018-08-10,8/10/18,1214.4
2018-08-13,8/13/18,1200.35
2018-08-14,8/14/18,1197.0
2018-08-15,8/15/18,1182.0
2018-08-16,8/16/18,1180.4
2018-08-17,8/17/18,1178.4
2018-08-20,8/20/18,1184.35
2018-08-21,8/21/18,1190.95
2018-08-22,8/22/18,1196.65
2018-08-23,8/23/18,1192.35
2018-08-24,8/24/18,1197.7
2018-08-28,8/28/18,1212.25
2018-08-29,8/29/18,1204.2
2018-08-30,8/30/18,1197.3
2018-08-31,8/31/18,1202.45
2018-09-03,9/3/18,1200.05
2018-09-04,9/4/18,1190.85
2018-09-05,9/5/18,1196.7
2018-09-06,9/6/18,1205.15
2018-09-07,9/7/18,1198.9
2018-09-10,9/10/18,1196.6
2018-09-11,9/11/18,1189.85
2018-09-12,9/12/18,1195.6
2018-09-13,9/13/18,1209.8
2018-09-14,9/14/18,1201.95
2018-09-17,9/17/18,1201.9
2018-09-18,9/18/18,1200.2
2018-09-19,9/19/18,1203.3
2018-09-20,9/20/18,1208.35
2018-09-21,9/21/18,1198.7
2018-09-24,9/24/18,1202.75
2018-09-25,9/25/18,1201.9
2018-09-26,9/26/18,1194.25
2018-09-27,9/27/18,1185.4
2018-09-28,9/28/18,1187.25
2018-10-01,10/1/18,1189.35
2018-10-02,10/2/18,1204.7
2018-10-03,10/3/18,1201.2
2018-10-04,10/4/18,1203.45
2018-10-05,10/5/18,1203.8
2018-10-08,10/8/18,1186.95
2018-10-09,10/9/18,1185.55
2018-10-10,10/10/18,1188.6
2018-10-11,10/11/18,1205.55
2018-10-12,10/12/18,1219.75
2018-10-15,10/15/18,1229.95
2018-10-16,10/16/18,1230.7
2018-10-17,10/17/18,1229.05
2018-10-18,10/18/18,1223.0
2018-10-19,10/19/18,1227.85
2018-10-22,10/22/18,1222.3
2018-10-23,10/23/18,1235.95
2018-10-24,10/24/18,1230.55
2018-10-25,10/25/18,1230.8
2018-10-26,10/26/18,1233.85
2018-10-29,10/29/18,1230.8
2018-10-30,10/30/18,1225.4
2018-10-31,10/31/18,1214.95
2018-11-01,11/1/18,1231.15
2018-11-02,11/2/18,1232.1
2018-11-05,11/5/18,1232.25
2018-11-06,11/6/18,1231.6
2018-11-07,11/7/18,1229.95
2018-11-08,11/8/18,1224.15
2018-11-09,11/9/18,1211.4
2018-11-12,11/12/18,1205.55
2018-11-13,11/13/18,1202.1
2018-11-14,11/14/18,1203.25
2018-11-15,11/15/18,1211.85
2018-11-16,11/16/18,1222.4
2018-11-19,11/19/18,1221.6
2018-11-20,11/20/18,1223.0
2018-11-21,11/21/18,1226.1
2018-11-22,11/22/18,1227.05
2018-11-23,11/23/18,1223.65
2018-11-26,11/26/18,1223.4
2018-11-27,11/27/18,1221.2
2018-11-28,11/28/18,1213.25
2018-11-29,11/29/18,1226.25
2018-11-30,11/30/18,1217.55
2018-12-03,12/3/18,1230.3
2018-12-04,12/4/18,1240.3
2018-12-05,12/5/18,1235.9
2018-12-06,12/6/18,1242.55
2018-12-07,12/7/18,1243.3
2018-12-10,12/10/18,1245.35
2018-12-11,12/11/18,1245.3
2018-12-12,12/12/18,1245.75
2018-12-13,12/13/18,1242.75
2018-12-14,12/14/18,1235.35
2018-12-17,12/17/18,1241.65
2018-12-18,12/18/18,1246.3
2018-12-19,12/19/18,1255.0
2018-12-20,12/20/18,1259.75
2018-12-21,12/21/18,1258.15
2018-12-24,12/24/18,1263.075
2018-12-27,12/27/18,1268.0
2018-12-28,12/28/18,1279.0
2018-12-31,12/31/18,1280.95
2019-01-02,1/2/19,1282.9
2019-01-03,1/3/19,1290.45
2019-01-04,1/4/19,1279.9
2019-01-07,1/7/19,1292.2
2019-01-08,1/8/19,1286.45
2019-01-09,1/9/19,1288.6
2019-01-10,1/10/19,1291.9
2019-01-11,1/11/19,1288.95
2019-01-14,1/14/19,1292.75
2019-01-15,1/15/19,1294.4
2019-01-16,1/16/19,1292.3
2019-01-17,1/17/19,1290.7
2019-01-18,1/18/19,1284.2
2019-01-21,1/21/19,1279.55
2019-01-22,1/22/19,1282.1
2019-01-23,1/23/19,1279.8
2019-01-24,1/24/19,1283.7
2019-01-25,1/25/19,1293.9
2019-01-28,1/28/19,1302.15
2019-01-29,1/29/19,1307.55
2019-01-30,1/30/19,1310.7
2019-01-31,1/31/19,1323.25
2019-02-01,2/1/19,1318.7
2019-02-04,2/4/19,1312.15
2019-02-05,2/5/19,1314.2
2019-02-06,2/6/19,1312.4
2019-02-07,2/7/19,1310.0
2019-02-08,2/8/19,1314.85
2019-02-11,2/11/19,1306.4
2019-02-12,2/12/19,1310.0
2019-02-13,2/13/19,1312.8
2019-02-14,2/14/19,1311.45
2019-02-15,2/15/19,1316.55
2019-02-18,2/18/19,1325.5
2019-02-19,2/19/19,1334.15
2019-02-20,2/20/19,1343.75
2019-02-21,2/21/19,1331.25
2019-02-22,2/22/19,1329.05
2019-02-25,2/25/19,1331.05
2019-02-26,2/26/19,1325.05
2019-02-27,2/27/19,1322.85
2019-02-28,2/28/19,1319.15
2019-03-01,3/1/19,1311.95
2019-03-04,3/4/19,1285.4
2019-03-05,3/5/19,1283.8
2019-03-06,3/6/19,1285.85
2019-03-07,3/7/19,1285.3
2019-03-08,3/8/19,1296.75
2019-03-11,3/11/19,1292.75
2019-03-12,3/12/19,1297.05
2019-03-13,3/13/19,1306.95
2019-03-14,3/14/19,1295.55
2019-03-15,3/15/19,1303.5
2019-03-18,3/18/19,1305.6
2019-03-19,3/19/19,1307.7
2019-03-20,3/20/19,1303.7
2019-03-21,3/21/19,1309.6
2019-03-22,3/22/19,1311.3
2019-03-25,3/25/19,1319.55
2019-03-26,3/26/19,1316.3
2019-03-27,3/27/19,1309.7
2019-03-28,3/28/19,1295.15
2019-03-29,3/29/19,1295.4
2019-04-01,4/1/19,1293.5
2019-04-02,4/2/19,1290.3
2019-04-03,4/3/19,1290.45
2019-04-04,4/4/19,1283.15
2019-04-05,4/5/19,1288.45
2019-04-08,4/8/19,1300.0
2019-04-09,4/9/19,1303.0
2019-04-10,4/10/19,1305.45
2019-04-11,4/11/19,1298.8
2019-04-12,4/12/19,1294.3
2019-04-15,4/15/19,1285.65
2019-04-16,4/16/19,1276.35
2019-04-17,4/17/19,1275.85
2019-04-18,4/18/19,1275.7
2019-04-23,4/23/19,1269.5
2019-04-24,4/24/19,1271.65
2019-04-25,4/25/19,1280.8
2019-04-26,4/26/19,1284.2
2019-04-29,4/29/19,1279.5
2019-04-30,4/30/19,1282.3
2019-05-01,5/1/19,1283.8
2019-05-02,5/2/19,1270.95
2019-05-03,5/3/19,1278.55
2019-05-07,5/7/19,1281.2
2019-05-08,5/8/19,1285.2
2019-05-09,5/9/19,1286.1
2019-05-10,5/10/19,1287.1
2019-05-13,5/13/19,1295.6
2019-05-14,5/14/19,1298.4
2019-05-15,5/15/19,1299.1
2019-05-16,5/16/19,1291.7
2019-05-17,5/17/19,1280.8
2019-05-20,5/20/19,1276.85
2019-05-21,5/21/19,1271.15
2019-05-22,5/22/19,1273.8
2019-05-23,5/23/19,1283.65
2019-05-24,5/24/19,1282.5
2019-05-28,5/28/19,1278.3
2019-05-29,5/29/19,1281.65
2019-05-30,5/30/19,1280.95
2019-05-31,5/31/19,1295.55
2019-06-03,6/3/19,1317.1
2019-06-04,6/4/19,1324.25
2019-06-05,6/5/19,1335.05
2019-06-06,6/6/19,1335.5
2019-06-07,6/7/19,1340.65
2019-06-10,6/10/19,1328.6
2019-06-11,6/11/19,1324.3
2019-06-12,6/12/19,1332.35
2019-06-13,6/13/19,1335.9
2019-06-14,6/14/19,1351.25
2019-06-17,6/17/19,1341.3
2019-06-18,6/18/19,1341.35
2019-06-19,6/19/19,1344.05
2019-06-20,6/20/19,1379.5
2019-06-21,6/21/19,1397.15
2019-06-24,6/24/19,1405.7
2019-06-25,6/25/19,1431.4
2019-06-26,6/26/19,1403.95
2019-06-27,6/27/19,1402.5
2019-06-28,6/28/19,1409.0
2019-07-01,7/1/19,1390.1
2019-07-02,7/2/19,1391.05
2019-07-03,7/3/19,1413.5
2019-07-04,7/4/19,1414.9
2019-07-05,7/5/19,1388.65
2019-07-08,7/8/19,1400.1
2019-07-09,7/9/19,1391.55
2019-07-10,7/10/19,1408.3
2019-07-11,7/11/19,1413.75
2019-07-12,7/12/19,1407.6
2019-07-15,7/15/19,1412.4
2019-07-16,7/16/19,1409.85
2019-07-17,7/17/19,1410.35
2019-07-18,7/18/19,1417.45
2019-07-19,7/19/19,1439.7
2019-07-22,7/22/19,1427.75
2019-07-23,7/23/19,1425.55
2019-07-24,7/24/19,1426.95
2019-07-25,7/25/19,1416.1
2019-07-26,7/26/19,1420.4
2019-07-29,7/29/19,1419.05
2019-07-30,7/30/19,1425.9
2019-07-31,7/31/19,1427.55
2019-08-01,8/1/19,1406.8
2019-08-02,8/2/19,1441.75
2019-08-05,8/5/19,1465.25
2019-08-06,8/6/19,1465.25
2019-08-07,8/7/19,1506.05
2019-08-08,8/8/19,1495.75
2019-08-09,8/9/19,1497.7
2019-08-12,8/12/19,1504.7
2019-08-13,8/13/19,1498.4
2019-08-14,8/14/19,1513.25
2019-08-15,8/15/19,1515.65
2019-08-16,8/16/19,1515.25
2019-08-19,8/19/19,1496.6
2019-08-20,8/20/19,1504.55
2019-08-21,8/21/19,1503.25
2019-08-22,8/22/19,1502.05
2019-08-23,8/23/19,1503.8
2019-08-27,8/27/19,1532.95
2019-08-28,8/28/19,1537.15
2019-08-29,8/29/19,1540.2
2019-08-30,8/30/19,1528.4
2019-09-02,9/2/19,1525.95
2019-09-03,9/3/19,1537.85
2019-09-04,9/4/19,1546.1
2019-09-05,9/5/19,1529.1
2019-09-06,9/6/19,1523.7
2019-09-09,9/9/19,1509.2
2019-09-10,9/10/19,1498.25
2019-09-11,9/11/19,1490.65
2019-09-12,9/12/19,1515.2
2019-09-13,9/13/19,1503.1
2019-09-16,9/16/19,1497.2
2019-09-17,9/17/19,1502.1
2019-09-18,9/18/19,1503.5
2019-09-19,9/19/19,1500.7
2019-09-20,9/20/19,1501.9
2019-09-23,9/23/19,1522.1
2019-09-24,9/24/19,1520.65
2019-09-25,9/25/19,1528.75
2019-09-26,9/26/19,1506.4
2019-09-27,9/27/19,1489.9
2019-09-30,9/30/19,1485.3
2019-10-01,10/1/19,1473.45
2019-10-02,10/2/19,1492.6
2019-10-03,10/3/19,1517.1
2019-10-04,10/4/19,1499.15
